Chinese,Pinyin,Wade-Giles,Romatzyh
爱,ài,ai⁴,ay
爱好,ài hào,ai⁴ hao⁴,ay haw
八,bā,pa¹,ba
爸爸,bàba,pa⁴ ba,bah ba
爸,bà,pa⁴,bah
白,bái ,pai²,bair
白天,bái tiān,pai² t'ien¹,bair tian
百,bǎi,pai³,bae
班,bān,pan¹,ban
半,bàn,pan⁴,bann
半年,bàn nián,pan⁴ nien²,bann nian
半天,bàn tiān,pan⁴ t'ien¹,bann tian
帮,bāng,pang¹,bang
帮忙,bāng máng,pang¹ mang²,bang mang
包,bāo,pao¹,bau
包子,bāo zi,pao¹ zi,bau zi
杯,bēi,pei¹,bei
杯子,bēi zi,pei¹ zi,bei zi
北,běi,pei³,beei
北边,běi biān,pei³ pien¹,beei bian
北京,běi jīng,pei³ ching¹,beei jing
本,běn ,pen³,been
本子,běn zi,pen³ zi,been zi
比,bǐ,pi³,bii
别,bié,pieh²,bye
别的,bié de,pieh² de,bye de
病,bìng,ping⁴,binq
病人,bìng rén,ping⁴ jen²,binq ren
不,bù,pu⁴,buh
菜,cài,ts'ai⁴,tsay
茶,chá,ch'a²,char
差,chà,ch'a⁴,chah
常,cháng,ch'ang²,charng
常常,cháng cháng,ch'ang² ch'ang²,charng charng
唱,chàng,ch'ang⁴,chanq
唱歌,chàng gē,ch'ang⁴ ko¹,chanq ge
车,chē,ch'e¹,che
车票,chē piào,ch'e¹ p'iao⁴,che piaw
车上,chē shàng,ch'e¹ shang⁴,che shanq
车站,chē zhàn,ch'e¹ chan⁴,che jann
吃,chī,ch'ih¹,chy
吃饭,chī fàn,ch'ih¹ fan⁴,chy fann
出,chū,ch'u¹,chu
出来,chū lái,ch'u¹ lai²,chu lai
出去,chū qù,ch'u¹ ch'ü⁴,chu chiuh
穿,chuān,ch'uan¹,chuan
床,chuáng,ch'uang²,chwang
次,cì ,tz'u⁴,tsyh
从,cóng,ts'ung²,tsorng
错,cuò,ts'o⁴,tsuoh
打车,dǎ chē,ta³ ch'e¹,daa che
