Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
爱,аи,аи ,аы,ай
爱好,аи хао,аи  хао ,аы хаво,ай хао
八,ба,па ,ба,ба
爸爸,ба ба,па  ба,бах ба,ба ба
爸,ба,па ,бах,ба
白,баи,паи ,баир,бай
白天,баи тиан,паи  тиен ,баир тиан,бай тянь
百,баи,паи ,бае,бай
班,бан,пан ,бан,бань
半,бан,пан ,банн,бань
半年,бан ниан,пан  ниен ,банн ниан,бань нянь
半天,бан тиан,пан  тиен ,банн тиан,бань тянь
帮,банг,панг ,банг,бан
帮忙,банг манг,панг  манг ,банг манг,бан ман
包,бао,пао ,бау,бао
包子,бао зи,пао  зи,бау зи,бао цзы
杯,беи,пеи ,беи,бэй
杯子,беи зи,пеи  зи,беи зи,бэй цзы
北,беи,пеи ,бееи,бэй
北边,беи биан,пеи  пиен ,бееи биан,бэй бянь
北京,беи йинг,пеи  чинг ,бееи йинг,бэй цзин
本,бен,пен ,беен,бэнь
本子,бен зи,пен  зи,беен зи,бэнь цзы
比,би,пи ,бии,би
别,бие,пиех ,бые,бе
别的,бие де,пиех  де,бые де,бе дэ
病,бинг,пинг ,бинк,бин
病人,бинг рен,пинг  йен ,бинк рен,бин жэнь
不,бу,пу ,бух,бу
菜,цаи,цаи ,цаы,цай
茶,ча,ча ,чар,ча
差,ча,ча ,чах,ча
常,чанг,чанг ,чарнг,чан
常常,чанг чанг,чанг  чанг ,чарнг чарнг,чан чан
唱,чанг,чанг ,чанк,чан
唱歌,чанг ге,чанг  ко ,чанк ге,чан гэ
车,че,че ,че,чэ
车票,че пиао,че  пиао ,че пиаво,чэ пяо
车上,че шанг,че  шанг ,че шанк,чэ шан
车站,че жан,че  чан ,че янн,чэ чжань
吃,чи,чих ,чы,чи
吃饭,чи фан,чих  фан ,чы фанн,чи фань
出,чу,чу ,чу,чу
出来,чу лаи,чу  лаи ,чу лаи,чу лай
出去,чу ку,чу  чу ,чу чиух,чу цюй
穿,чуан,чуан ,чуан,чуань
床,чуанг,чуанг ,чвоанг,чуан
次,ци,тзу ,цых,цы
从,цонг,цунг ,цорнг,цун
错,цуо,цо ,цуох,цо
打车,да че,та  че ,даа че,да чэ
打电话,да диан хуа,та  тиен  хуа ,даа дианн хуах,да дянь хуа
打开,да каи,та  каи ,даа каи,да кай
打球,да киу,та  чиу ,даа чыоу,да цю
大,да,та ,дах,да
大学,да xуе,та  хсуех ,дах шыуе,да сюэ
大学生,да xуе шенг,та  хсуех  шенг ,дах шыуе шенг,да сюэ шэн
到,дао,тао ,даво,дао
得到,де дао,те  тао ,дер даво,дэ дао
地,ди,де,де,ди
的,де,де,де,дэ
等,денг,тенг ,деенг,дэн
地,ди,ти ,дих,ди
地点,ди диан,ти  тиен ,дих деан,ди дянь
地图,ди ту,ти  ту ,дих твоу,ди ту
弟弟,ди ди,ти  ди,дих ди,ди ди
弟,ди,ти ,дих,ди
第,ди,ти ,дих,ди
点,диан,тиен ,деан,дянь
电,диан,тиен ,дианн,дянь
电话,диан хуа,тиен  хуа ,дианн хуах,дянь хуа
电脑,диан нао,тиен  нао ,дианн нао,дянь нао
电视,диан ши,тиен  ших ,дианн шых,дянь ши
电视机,диан ши йи,тиен  ших  чи ,дианн шых йи,дянь ши цзи
电影,диан ыинг,тиен  ыинг ,дианн ыиинг,дянь ин
电影院,диан ыинг ыуан,тиен  ыинг  ыуан ,дианн ыиинг ыуанн,дянь ин юань
东,донг,тунг ,донг,дун
动,донг,тунг ,донк,дун
动作,донг зуо,тунг  цо ,донк тзуох,дун цзо
都,ду,тоу ,доу,ду
读,ду,ту ,двоу,ду
读书,ду шу,ту  шу ,двоу шу,ду шу
对,дуи,туи ,дуеы,дуй
对不起,дуи бу ки,туи  бу чи ,дуеы бу чии,дуй бу ци
多,дуо,то ,дуо,до
饿,е,е ,ех,э
儿子,ер зи,ерх  зи,ерл зи,эр цзы
二,ер,ерх ,елл,эр
饭,фан,фан ,фанн,фань
饭店,фан диан,фан  тиен ,фанн дианн,фань дянь
房间,фанг йиан,фанг  чиен ,фарнг йиан,фан цзянь
房子,фанг зи,фанг  зи,фарнг зи,фан цзы
放,фанг,фанг ,фанк,фан
放假,фанг йиа,фанг  чиа ,фанк йиах,фан цзя
放学,фанг xуе,фанг  хсуех ,фанк шыуе,фан сюэ
飞,феи,феи ,феи,фэй
飞机,феи йи,феи  чи ,феи йи,фэй цзи
非常,феи чанг,феи  чанг ,феи чарнг,фэй чан
分,фен,фен ,фен,фэнь
风,фенг,фенг ,фенг,фэн
干,ган,кан ,ган,гань
干净,ган йинг,кан  чинг ,ган йинк,гань цзин
干什么,ган ши ыао,кан  шен  ме,ганн шерн ме,гань ши яо
高,гао,као ,гау,гао
高兴,гао xинг,као  хсинг ,гау шинк,гао син
哥哥,ге ге,ко  ге,ге ге,гэ гэ
哥,ге,ко ,ге,гэ
歌,ге,ко ,ге,гэ
个,ге,ко ,гех,гэ
给,геи,кеи ,гееи,гэй
跟,ген,кен ,ген,гэнь
工人,гонг рен,кунг  йен ,гонг рен,гун жэнь
工作,гонг зуо,кунг  цо ,гонг тзуох,гун цзо
关,гуан,куан ,гуан,гуань
关上,гуан шанг,куан  шанг ,гуан шанк,гуань шан
贵,гуи,куеи ,гуеы,гуй
国,гуо,куо ,гвоо,го
国家,гуо йиа,куо  чиа ,гвоо йиа,го цзя
国外,гуо воаи,куо  воаи ,гвоо воаы,го вай
还是,хуан ши,хаи  ши,хаир ши,хуань ши
还有,хуан ыоу,хаи  ыу ,хаир ыеоу,хуань ю
孩子,хаи зи,хаи  зи,хаир зи,хай цзы
汉语,хан ыу,хан  ыу ,ханн ыеу,хань юй
汉字,хан зи,хан  тзу ,ханн тзых,хань цзы
好,хао,хао ,хао,хао
好吃,хао чи,хао  чих ,хао чы,хао чи
好看,хао кан,хао  кан ,хао канн,хао кань
好听,хао тинг,хао  тинг ,хао тинг,хао тин
好玩儿,хао воан ер,хао  воан  р,хао воан р,хао вань эр
号,хао,хао ,хаво,хао
喝,хе,хо ,хе,хэ
和,хе,хо ,хер,хэ
很,хен,хен ,хеен,хэнь
后,хоу,хоу ,хово,хоу
后天,хоу тиан,хоу  тиен ,хово тиан,хоу тянь
花,хуа,хуа ,хуа,хуа
话,хуа,хуа ,хуах,хуа
坏,хуаи,хуаи ,хуаы,хуай
还,хуан,хуан ,хвоан,хуань
回,хуи,хуи ,хвоеи,хуэй
回答,хуи да,хуи  та ,хвоеи дар,хуэй да
回到,хуи дао,хуи  тао ,хвоеи даво,хуэй дао
回家,хуи йиа,хуи  чиа ,хвоеи йиа,хуэй цзя
会,хуи,хуи ,хуеы,хуэй
火车,хуо че,хуо  че ,хуоо че,хо чэ
机场,йи чанг,чи  чанг ,йи чаанг,цзи чан
机票,йи пиао,чи  пиао ,йи пиаво,цзи пяо
鸡蛋,йи дан,чи  тан ,йи данн,цзи дань
几,йи,чи ,йии,цзи
记,йи,чи ,йих,цзи
家,йиа,чиа ,йиа,цзя
家里,йиа ли,чиа  ли ,йиа лии,цзя ли
家人,йиа рен,чиа  йен ,йиа рен,цзя жэнь
间,йиан,чиен ,йиан,цзянь
见,йиан,чиен ,йианн,цзянь
见面,йиан миан,чиен  миен ,йианн мианн,цзянь мянь
教,йиао,чиао ,йиау,цзяо
叫,йиао,чиао ,йиаво,цзяо
教学楼,йиао xуе лоу,чиао  хсуех  лоу ,йиаво шыуе лоу,цзяо сюэ лоу
姐姐,йие йие,чиех  йие,йиее йие,цзе цзе
介绍,йие шао,чиех  шао ,йиех шаво,цзе шао
今年,йин ниан,чин  ниен ,йин ниан,цзинь нянь
今天,йин тиан,чин  тиен ,йин тиан,цзинь тянь
进,йин,чин ,йинн,цзинь
进来,йин лаи,чин  лаи ,йинн лаи,цзинь лай
进去,йин ку,чин  чу ,йинн чиух,цзинь цюй
九,йиу,чиу ,йеоу,цзю
就,йиу,чиу ,йиово,цзю
觉得,юе де,чуех  де,йыуе де,цзюэ дэ
开,каи,каи ,каи,кай
开车,каи че,каи  че ,каи че,кай чэ
开会,каи хуи,каи  хуи ,каи хуеы,кай хуэй
开玩笑,каи воан xиао,каи  воан  хсиао ,каи воан шиаво,кай вань сяо
看病,кан бинг,кан  пинг ,канн бинк,кань бин
看到,кан дао,кан  тао ,канн даво,кань дао
看见,кан йиан,кан  чиен ,канн йианн,кань цзянь
考,као,као ,као,као
考试,као ши,као  ших ,као шых,као ши
渴,ке,ко ,кее,кэ
课,ке,ко ,кех,кэ
课本,ке бен,ко  пен ,кех беен,кэ бэнь
课文,ке воен,ко  воен ,кех воен,кэ вэнь
口,коу,коу ,кооу,коу
块,куаи,куаи ,куаы,куай
快,куаи,куаи ,куаы,куай
来,лаи,лаи ,лаи,лай
来到,лаи дао,лаи  тао ,лаи даво,лай дао
老,лао,лао ,лао,лао
老人,лао рен,лао  йен ,лао рен,лао жэнь
老师,лао ши,лао  ших ,лао шы,лао ши
了,ле,ле,ле,лэ
累,леи,леи ,леы,лэй
冷,ленг,ленг ,леенг,лэн
里,ли,ли ,лии,ли
两,лианг,лианг ,леанг,лян
零,линг,линг ,линг,лин
六,лиу,лиу ,лиово,лю
楼,лоу,лоу ,лоу,лоу
楼上,лоу шанг,лоу  шанг ,лоу шанк,лоу шан
楼下,лоу xиа,лоу  хсиа ,лоу шиах,лоу ся
路,лу,лу ,лух,лу
路口,лу коу,лу  коу ,лух кооу,лу коу
妈妈,ма ма,ма  ма,мха ма,ма ма
妈,ма,ма ,мха,ма
马路,ма лу,ма  лу ,маа лух,ма лу
马上,ма шанг,ма  шанг ,маа шанк,ма шан
买,маи,маи ,мае,май
慢,ман,ман ,манн,мань
忙,манг,манг ,манг,ман
毛,мао,мао ,мау,мао
没,меи,меи ,меи,мэй
没关系,меи гуан xи,меи  куан  xи,меи гуан xи,мэй гуань си
没什么,меи ши ыао,меи  шен  ме,меи шерн ме,мэй ши яо
没事儿,меи ши ер,меи  ших  р,меи шых р,мэй ши эр
没有,меи ыоу,меи  ыу ,меи ыеоу,мэй ю
妹妹,меи меи,меи  меи,меы меи,мэй мэй
妹,меи,меи ,меы,мэй
门,мен,мен ,мен,мэнь
门口,мен коу,мен  коу ,мен кооу,мэнь коу
门票,мен пиао,мен  пиао ,мен пиаво,мэнь пяо
米饭,ми фан,ми  фан ,мии фанн,ми фань
面包,миан бао,миен  пао ,мианн бау,мянь бао
面条儿,миан тиао ер,миен  тиао  р,мианн тыау р,мянь тяо эр
名字,минг зи,минг  зи,минг зи,мин цзы
明白,минг баи,минг  баи,минг баи,мин бай
