Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
爱,ai,ai⁴,ay,ай
爱好,ai hao,ai⁴ hao⁴,ay haw,ай хао
八,ba,pa¹,ba,ба
爸爸,ba ba,pa⁴ ba,bah ba,ба ба
爸,ba,pa⁴,bah,ба
白,bai,pai²,bair,бай
白天,bai tian,pai² t'ien¹,bair tian,бай тянь
百,bai,pai³,bae,бай
班,ban,pan¹,ban,бань
半,ban,pan⁴,bann,бань
半年,ban nian,pan⁴ nien²,bann nian,бань нянь
半天,ban tian,pan⁴ t'ien¹,bann tian,бань тянь
帮,bang,pang¹,bang,бан
帮忙,bang mang,pang¹ mang²,bang mang,бан ман
包,bao,pao¹,bau,бао
包子,bao zi,pao¹ zi,bau zi,бао цзы
杯,bei,pei¹,bei,бэй
杯子,bei zi,pei¹ zi,bei zi,бэй цзы
北,bei,pei³,beei,бэй
北边,bei bian,pei³ pien¹,beei bian,бэй бянь
北京,bei jing,pei³ ching¹,beei jing,бэй цзин
本,ben,pen³,been,бэнь
本子,ben zi,pen³ zi,been zi,бэнь цзы
比,bi,pi³,bii,би
别,bie,pieh²,bye,бе
别的,bie de,pieh² de,bye de,бе дэ
病,bing,ping⁴,binq,бин
病人,bing ren,ping⁴ jen²,binq ren,бин жэнь
不,bu,pu⁴,buh,бу
菜,cai,ts'ai⁴,tsay,цай
茶,cha,ch'a²,char,ча
差,cha,ch'a⁴,chah,ча
常,chang,ch'ang²,charng,чан
常常,chang chang,ch'ang² ch'ang²,charng charng,чан чан
唱,chang,ch'ang⁴,chanq,чан
唱歌,chang ge,ch'ang⁴ ko¹,chanq ge,чан гэ
车,che,ch'e¹,che,чэ
车票,che piao,ch'e¹ p'iao⁴,che piaw,чэ пяо
车上,che shang,ch'e¹ shang⁴,che shanq,чэ шан
车站,che zhan,ch'e¹ chan⁴,che jann,чэ чжань
吃,chi,ch'ih¹,chy,чи
吃饭,chi fan,ch'ih¹ fan⁴,chy fann,чи фань
出,chu,ch'u¹,chu,чу
出来,chu lai,ch'u¹ lai²,chu lai,чу лай
出去,chu qu,ch'u¹ ch'ü⁴,chu chiuh,чу цюй
穿,chuan,ch'uan¹,chuan,чуань
床,chuang,ch'uang²,chwang,чуан
次,ci,tz'u⁴,tsyh,цы
从,cong,ts'ung²,tsorng,цун
错,cuo,ts'o⁴,tsuoh,цо
打车,da che,ta³ ch'e¹,daa che,да чэ
打电话,da dian hua,ta³ tien⁴ hua⁴,daa diann huah,да дянь хуа
打开,da kai,ta³ k'ai¹,daa kai,да кай
打球,da qiu,ta³ ch'iu²,daa chyou,да цю
大,da,ta⁴,dah,да
大学,da xue,ta⁴ hsüeh²,dah shyue,да сюэ
大学生,da xue sheng,ta⁴ hsüeh² sheng¹,dah shyue sheng,да сюэ шэн
到,dao,tao⁴,daw,дао
得到,de dao,te² tao⁴,der daw,дэ дао
地,di,de,de,ди
的,de,de,de,дэ
等,deng,teng³,deeng,дэн
地,di,ti⁴,dih,ди
地点,di dian,ti⁴ tien³,dih dean,ди дянь
地图,di tu,ti⁴ t'u²,dih twu,ди ту
弟弟,di di,ti⁴ di,dih di,ди ди
弟,di,ti⁴,dih,ди
第,di,ti⁴,dih,ди
点,dian,tien³,dean,дянь
电,dian,tien⁴,diann,дянь
电话,dian hua,tien⁴ hua⁴,diann huah,дянь хуа
电脑,dian nao,tien⁴ nao³,diann nao,дянь нао
电视,dian shi,tien⁴ shih⁴,diann shyh,дянь ши
电视机,dian shi ji,tien⁴ shih⁴ chi¹,diann shyh ji,дянь ши цзи
电影,dian ying,tien⁴ ying³,diann yiing,дянь ин
电影院,dian ying yuan,tien⁴ ying³ yüan⁴,diann yiing yuann,дянь ин юань
东,dong,tung¹,dong,дун
动,dong,tung⁴,donq,дун
动作,dong zuo,tung⁴ tso⁴,donq tzuoh,дун цзо
都,du,tou¹,dou,ду
读,du,tu²,dwu,ду
读书,du shu,tu² shu¹,dwu shu,ду шу
对,dui,tui⁴,duey,дуй
对不起,dui bu qi,tui⁴ bu ch'i³,duey bu chii,дуй бу ци
多,duo,to¹,duo,до
饿,e,e⁴,eh,э
儿子,er zi,erh² zi,erl zi,эр цзы
二,er,erh⁴,ell,эр
饭,fan,fan⁴,fann,фань
饭店,fan dian,fan⁴ tien⁴,fann diann,фань дянь
房间,fang jian,fang² chien¹,farng jian,фан цзянь
房子,fang zi,fang² zi,farng zi,фан цзы
放,fang,fang⁴,fanq,фан
放假,fang jia,fang⁴ chia⁴,fanq jiah,фан цзя
放学,fang xue,fang⁴ hsüeh²,fanq shyue,фан сюэ
飞,fei,fei¹,fei,фэй
飞机,fei ji,fei¹ chi¹,fei ji,фэй цзи
非常,fei chang,fei¹ ch'ang²,fei charng,фэй чан
分,fen,fen¹,fen,фэнь
风,feng,feng¹,feng,фэн
干,gan,kan¹,gan,гань
干净,gan jing,kan¹ ching⁴,gan jinq,гань цзин
干什么,gan shi yao,kan⁴ shen² me,gann shern me,гань ши яо
高,gao,kao¹,gau,гао
高兴,gao xing,kao¹ hsing⁴,gau shinq,гао син
哥哥,ge ge,ko¹ ge,ge ge,гэ гэ
哥,ge,ko¹,ge,гэ
歌,ge,ko¹,ge,гэ
个,ge,ko⁴,geh,гэ
给,gei,kei³,geei,гэй
跟,gen,ken¹,gen,гэнь
工人,gong ren,kung¹ jen²,gong ren,гун жэнь
工作,gong zuo,kung¹ tso⁴,gong tzuoh,гун цзо
关,guan,kuan¹,guan,гуань
关上,guan shang,kuan¹ shang⁴,guan shanq,гуань шан
贵,gui,kuei⁴,guey,гуй
国,guo,kuo²,gwo,го
国家,guo jia,kuo² chia¹,gwo jia,го цзя
国外,guo wai,kuo² wai⁴,gwo way,го вай
还是,huan shi,hai² shi,hair shi,хуань ши
还有,huan you,hai² yu³,hair yeou,хуань ю
孩子,hai zi,hai² zi,hair zi,хай цзы
汉语,han yu,han⁴ yü³,hann yeu,хань юй
汉字,han zi,han⁴ tzu⁴,hann tzyh,хань цзы
好,hao,hao³,hao,хао
好吃,hao chi,hao³ ch'ih¹,hao chy,хао чи
好看,hao kan,hao³ k'an⁴,hao kann,хао кань
好听,hao ting,hao³ t'ing¹,hao ting,хао тин
好玩儿,hao wan er,hao³ wan² r,hao wan r,хао вань эр
号,hao,hao⁴,haw,хао
