0,1,2,3,4,5
爱,аи,аи,аы,ай,аи
爱好,аи хао,аи хао,аы хауо,ай хао,аи хао
八,ба,па,ба,ба,ба
爸爸,ба ба,па ба,бах ба,ба ба,ба ба
爸,ба,па,бах,ба,ба
白,баи,паи,баир,бай,баи
白天,баи тиан,паи тиен,баир тиан,бай тянь,баи тиан
百,баи,паи,бае,бай,баи
班,бан,пан,бан,бань,бан
半,бан,пан,банн,бань,бан
半年,бан ниан,пан ниен,банн ниан,бань нянь,бан ниан
半天,бан тиан,пан тиен,банн тиан,бань тянь,бан тиан
帮,банг,панг,банг,бан,банг
帮忙,банг манг,панг манг,банг манг,бан ман,банг манг
包,бао,пао,бау,бао,бао
包子,бао зи,пао зи,бау зи,бао цзы,бао зи
杯,беи,пеи,беи,бэй,беи
杯子,беи зи,пеи зи,беи зи,бэй цзы,беи зи
北,беи,пеи,бееи,бэй,беи
北边,беи биан,пеи пиен,бееи биан,бэй бянь,беи биан
北京,беи йинг,пеи чинг,бееи йинг,бэй цзин,беи йинг
本,бен,пен,беен,бэнь,бен
本子,бен зи,пен зи,беен зи,бэнь цзы,бен зи
比,би,пи,бии,би,би
别,бие,пиех,бые,бе,бие
别的,бие де,пиех де,бые де,бе дэ,бие де
病,бинг,пинг,бинк,бин,бинг
病人,бинг рен,пинг йен,бинк рен,бин жэнь,бинг рен
不,бу,пу,бух,бу,бу
菜,цаи,цаи,цаы,цай,цаи
茶,ча,ча,чар,ча,ча
差,ча,ча,чах,ча,ча
常,чанг,чанг,чарнг,чан,чанг
常常,чанг чанг,чанг чанг,чарнг чарнг,чан чан,чанг чанг
唱,чанг,чанг,чанк,чан,чанг
唱歌,чанг ге,чанг ко,чанк ге,чан гэ,чанг ге
车,че,че,че,чэ,че
车票,че пиао,че пиао,че пиауо,чэ пяо,че пиао
车上,че шанг,че шанг,че шанк,чэ шан,че шанг
车站,че жан,че чан,че янн,чэ чжань,че чан
吃,чи,чих,чы,чи,чи
吃饭,чи фан,чих фан,чы фанн,чи фань,чи фан
出,чу,чу,чу,чу,чу
出来,чу лаи,чу лаи,чу лаи,чу лай,чу лаи
出去,чу ку,чу чу,чу чиух,чу цюй,чу чу
穿,чуан,чуан,чуан,чуань,чуан
床,чуанг,чуанг,чуоанг,чуан,чуанг
次,ци,тзу,цых,цы,цы
从,цонг,цунг,цорнг,цун,цонг
错,цуо,цо,цуох,цо,цуо
打车,да че,та че,даа че,да чэ,да че
打电话,да диан хуа,та тиен хуа,даа дианн хуах,да дянь хуа,да диан хуа
打开,да каи,та каи,даа каи,да кай,да каи
打球,да киу,та чиу,даа чыоу,да цю,да чиу
大,да,та,дах,да,да
大学,да xуе,та хсуех,дах шыуе,да сюэ,да xуу
大学生,да xуе шенг,та хсуех шенг,дах шыуе шенг,да сюэ шэн,да xуу шенг
到,дао,тао,дауо,дао,дао
得到,де дао,те тао,дер дауо,дэ дао,де дао
地,ди,де,де,ди,ди
的,де,де,де,дэ,де
等,денг,тенг,деенг,дэн,денг
地,ди,ти,дих,ди,ди
地点,ди диан,ти тиен,дих деан,ди дянь,ди диан
地图,ди ту,ти ту,дих туоу,ди ту,ди ту
弟弟,ди ди,ти ди,дих ди,ди ди,ди ди
弟,ди,ти,дих,ди,ди
第,ди,ти,дих,ди,ди
点,диан,тиен,деан,дянь,диан
电,диан,тиен,дианн,дянь,диан
电话,диан хуа,тиен хуа,дианн хуах,дянь хуа,диан хуа
电脑,диан нао,тиен нао,дианн нао,дянь нао,диан нао
电视,диан ши,тиен ших,дианн шых,дянь ши,диан ши
电视机,диан ши йи,тиен ших чи,дианн шых йи,дянь ши цзи,диан ши йи
电影,диан ыинг,тиен ыинг,дианн ыиинг,дянь ин,диан ыинг
电影院,диан ыинг ыуан,тиен ыинг ыуан,дианн ыиинг ыуанн,дянь ин юань,диан ыинг ыуан
东,донг,тунг,донг,дун,донг
动,донг,тунг,донк,дун,донг
动作,донг зуо,тунг цо,донк тзуох,дун цзо,донг цзо
都,ду,тоу,доу,ду,ду
读,ду,ту,дуоу,ду,ду
读书,ду шу,ту шу,дуоу шу,ду шу,ду шу
对,дуи,туи,дуеы,дуй,дуи
对不起,дуи бу ки,туи бу чи,дуеы бу чии,дуй бу ци,дуи бу чи
多,дуо,то,дуо,до,ду
饿,е,е,ех,э,е
儿子,ер зи,ерх зи,ерл зи,эр цзы,ер зи
二,ер,ерх,елл,эр,ер
饭,фан,фан,фанн,фань,фан
饭店,фан диан,фан тиен,фанн дианн,фань дянь,фан диан
