Chinese,Pinyin
爱,ài
爱好,ài hào
八,bā
爸爸,bàba
爸,bà
吧,ba
白,bái 
白天,bái tiān
百,bǎi
班,bān
半,bàn
半年,bàn nián
半天,bàn tiān
帮,bāng
帮忙,bāng máng
包,bāo
包子,bāo zi
杯,bēi
杯子,bēi zi
北,běi
北边,běi biān
北京,běi jīng
本,běn 
本子,běn zi
比,bǐ
别,bié
别的,bié de
别人,bié·rén
病,bìng
病人,bìng rén
不大,bú dà
不对,bú duì
不客气,bú kè qì
不用,bú yòng
不,bù
菜,cài
茶,chá
差,chà
常,cháng
常常,cháng cháng
唱,chàng
唱歌,chàng gē
车,chē
车票,chē piào
车上,chē shàng
车站,chē zhàn
吃,chī
吃饭,chī fàn
出,chū
出来,chū lái
出去,chū qù
穿,chuān
床,chuáng
次,cì 
从,cóng
错,cuò
打,dǎ 
打车,dǎ chē
打电话,dǎ diàn huà
打开,dǎ kāi
打球,dǎ qiú
大,dà
大学,dà xué
大学生,dà xué shēng
到,dào
得到,dé dào
地,de
的,de
等,děng
地,dì
地点,dìdiǎn
地方,dìfang
地上,dì shàng
地图,dìtú
弟弟,dì di
弟,dì
第,dì 
点,diǎn
电,diàn
电话,diàn huà
电脑,diànnǎo
电视,diànshì
电视机,diàn shì jī
电影,diànyǐng
电影院,diàn yǐng yuàn
东,dōng
东边,dōng biān
东西,dōngxi
动,dòng
动作,dòngzuò
都,dōu
读,dú
读书,dú shū
对,duì
对不起,duìbuqǐ
多,duō
多少,duōshao
饿,è
儿子,érzi
二,èr
饭,fàn
饭店,fàndiàn
房间,fángjiān
房子,fáng zi
放,fàng
放假,fàng jià
放学,fàng xué
飞,fēi
飞机,fēijī
非常,fēicháng
分,fēn
风,fēng
干,gān
干净,gānjìng
干,gàn
干什么,gàn shén me
高,gāo
高兴,gāoxìng
告诉,gàosu
哥哥,gē ge
哥,gē
歌,gē
个,gè
给,gěi
跟,gēn
工人,gōngrén
工作,gōngzuò
关,guān
关上,guān shàng
贵,guì
国,guó
国家,guójiā
国外,guó wài
过,guò
还,hái
还是,háishi
还有,hái yǒu
孩子,háizi
汉语,hànyǔ
汉字,hàn zì
好,hǎo
好吃,hǎochī
好看,hǎo kàn
好听,hǎo tīng
好玩儿,hǎo wánr
号,hào
喝,hē
和,hé
很,hěn
后,hòu
后边,hòu biān
后天,hòu tiān
花,huā
话,huà
坏,huài
还,huán
回,huí
回答,huídá
回到,huí dào
回家,huí jiā
回来,huí lái
回去,huí qù
会,huì
火车,huǒ chē
机场,jīchǎng
机票,jī piào
鸡蛋,jīdàn
几,jǐ
记,jì
记得,jìdé
记住,jì zhù
家,jiā
家里,jiā lǐ
家人,jiā rén
间,jiān
见,jiàn
