Pinyin,Wade-Giles,Romatzyh
ai,ai,ay
aihao,aihao,ayhaw
ba,pa,ba
baba,paba,bahba
ba,pa,bah
bai,pai,bair
baitian,paitien,bairtian
bai,pai,bae
ban,pan,ban
ban,pan,bann
bannian,pannien,bannnian
bantian,pantien,banntian
bang,pang,bang
bangmang,pangmang,bangmang
bao,pao,bau
baozi,paozi,bauzi
bei,pei,bei
beizi,peizi,beizi
bei,pei,beei
beibian,peipien,beeibian
beijing,peiching,beeijing
ben,pen,been
benzi,penzi,beenzi
bi,pi,bii
bie,pieh,bye
biede,piehde,byede
bing,ping,binq
bingren,pingjen,binqren
bu,pu,buh
cai,tsai,tsay
cha,cha,char
cha,cha,chah
chang,chang,charng
changchang,changchang,charngcharng
chang,chang,chanq
changge,changko,chanqge
che,che,che
chepiao,chepiao,chepiaw
cheshang,cheshang,cheshanq
chezhan,chechan,chejann
chi,chih,chy
chifan,chihfan,chyfann
chu,chu,chu
chulai,chulai,chulai
chuqu,chuchu,chuchiuh
chuan,chuan,chuan
chuang,chuang,chwang
ci,tzu,tsyh
cong,tsung,tsorng
cuo,tso,tsuoh
dache,tache,daache
dadianhua,tatienhua,daadiannhuah
dakai,takai,daakai
daqiu,tachiu,daachyou
da,ta,dah
daxue,tahsueh,dahshyue
daxuesheng,tahsuehsheng,dahshyuesheng
dao,tao,daw
dedao,tetao,derdaw
de,de,de
de,de,de
deng,teng,deeng
di,ti,dih
didian,titien,dihdean
ditu,titu,dihtwu
didi,tidi,dihdi
di,ti,dih
di,ti,dih
dian,tien,dean
dian,tien,diann
dianhua,tienhua,diannhuah
diannao,tiennao,diannnao
dianshi,tienshih,diannshyh
dianshiji,tienshihchi,diannshyhji
dianying,tienying,diannyiing
dianyingyuan,tienyingyuan,diannyiingyuann
dong,tung,dong
dong,tung,donq
dongzuo,tungtso,donqtzuoh
dou,tou,dou
du,tu,dwu
dushu,tushu,dwushu
dui,tui,duey
duibuqi,tuibuchi,dueybuchii
duo,to,duo
e,e,eh
erzi,erhzi,erlzi
er,erh,ell
fan,fan,fann
fandian,fantien,fanndiann
fangjian,fangchien,farngjian
fangzi,fangzi,farngzi
fang,fang,fanq
fangjia,fangchia,fanqjiah
fangxue,fanghsueh,fanqshyue
fei,fei,fei
feiji,feichi,feiji
feichang,feichang,feicharng
fen,fen,fen
feng,feng,feng
gan,kan,gan
ganjing,kanching,ganjinq
ganshenme,kanshenme,gannshernme
gao,kao,gau
gaoxing,kaohsing,gaushinq
gege,koge,gege
ge,ko,ge
ge,ko,ge
ge,ko,geh
gei,kei,geei
gen,ken,gen
gongren,kungjen,gongren
gongzuo,kungtso,gongtzuoh
guan,kuan,guan
guanshang,kuanshang,guanshanq
gui,kuei,guey
guo,kuo,gwo
guojia,kuochia,gwojia
guowai,kuowai,gwoway
haishi,haishi,hairshi
haiyou,haiyu,hairyeou
haizi,haizi,hairzi
hanyu,hanyu,hannyeu
hanzi,hantzu,hanntzyh
hao,hao,hao
haochi,haochih,haochy
haokan,haokan,haokann
haoting,haoting,haoting
haowanr,haowanr,haowanr
hao,hao,haw
he,ho,he
he,ho,her
hen,hen,heen
hou,hou,how
houtian,houtien,howtian
hua,hua,hua
hua,hua,huah
huai,huai,huay
huan,huan,hwan
hui,hui,hwei
huida,huita,hweidar
huidao,huitao,hweidaw
huijia,huichia,hweijia
hui,hui,huey
huoche,huoche,huooche
jichang,chichang,jichaang
jipiao,chipiao,jipiaw
jidan,chitan,jidann
ji,chi,jii
ji,chi,jih
jia,chia,jia
jiali,chiali,jialii
jiaren,chiajen,jiaren
jian,chien,jian
jian,chien,jiann
jianmian,chienmien,jiannmiann
jiao,chiao,jiau
jiao,chiao,jiaw
jiaoxuelou,chiaohsuehlou,jiawshyuelou
jiejie,chiehjie,jieejie
jieshao,chiehshao,jiehshaw
jinnian,chinnien,jinnian
jintian,chintien,jintian
jin,chin,jinn
jinlai,chinlai,jinnlai
jinqu,chinchu,jinnchiuh
jiu,chiu,jeou
jiu,chiu,jiow
juede,chuehde,jyuede
kai,kai,kai
kaiche,kaiche,kaiche
kaihui,kaihui,kaihuey
kaiwanxiao,kaiwanhsiao,kaiwanshiaw
kanbing,kanping,kannbinq
kandao,kantao,kanndaw
kanjian,kanchien,kannjiann
kao,kao,kao
kaoshi,kaoshih,kaoshyh
ke,ko,kee
ke,ko,keh
keben,kopen,kehbeen
kewen,kowen,kehwen
kou,kou,koou
kuai,kuai,kuay
kuai,kuai,kuay
lai,lai,lai
laidao,laitao,laidaw
lao,lao,lao
laoren,laojen,laoren
laoshi,laoshih,laoshy
le,le,le
lei,lei,ley
leng,leng,leeng
li,li,lii
liang,liang,leang
ling,ling,ling
ling,ling,ling
liu,liu,liow
lou,lou,lou
loushang,loushang,loushanq
louxia,louhsia,loushiah
lu,lu,luh
lukou,lukou,luhkoou
mama,mama,mhama
ma,ma,mha
malu,malu,maaluh
mashang,mashang,maashanq
mai,mai,mae
man,man,mann
mang,mang,mang
mao,mao,mau
mei,mei,mei
meiguanxi,meikuanxi,meiguanxi
meishenme,meishenme,meishernme
meishir,meishihr,meishyhr
meiyou,meiyu,meiyeou
meimei,meimei,meymei
mei,mei,mey
men,men,men
menkou,menkou,menkoou
menpiao,menpiao,menpiaw
mifan,mifan,miifann
mianbao,mienpao,miannbau
miantiaor,mientiaor,mianntyaur
mingzi,mingzi,mingzi
mingbai,mingbai,mingbai
mingnian,mingnien,mingnian
mingtian,mingtien,mingtian
na,na,na
na,na,naa
nali,nali,naalii
nar,nar,naar
naxie,nahsieh,naashie
nar,nar,nahr
naxie,nahsieh,nahshie
nai,nai,nae
nainai,nainai,naenai
nanhair,nanhair,nanhairr
nansheng,nansheng,nansheng
ne,ne,ne
neng,neng,neng
ni,ni,nii
nimen,nimen,niimen
nian,nien,nian
nin,nin,nin
niunai,niunai,niounae
pangbian,pangpien,parngbian
pengyou,pengyou,perngyou
piao,piao,piaw
qi,chi,chi
qi,chi,chii
qichuang,chichuang,chiichwang
qiche,chiche,chihche
qian,chien,chyan
qiantian,chientien,chyantian
qian,chien,chyan
qianbao,chienpao,chyanbau
qing,ching,chiing
qingjia,chingchia,chiingjiah
qingjin,chingchin,chiingjinn
qingwen,chingwen,chiingwenn
qingzuo,chingtso,chiingtzuoh
qiu,chiu,chyou
qu,chu,chiuh
qunian,chunien,chiuhnian
re,je,reh
ren,jen,ren
renshi,jenshi,rennshi
renzhen,jenchen,rennjen
ri,jih,ryh
riqi,jihchi,ryhchi
rou,jou,row
san,san,san
shan,shan,shan
shangchang,shangchang,shangchaang
shangdian,shangtien,shangdiann
shang,shang,shanq
shangban,shangpan,shanqban
