Иероглиф,Лингвистика,Наше решение
爱,ай4,аи4
八,ба1,ба1
爸,ба4,ба4
爸爸,ба4ба5,ба4ба4
杯,бэй1,беи1
子,дзы3,
杯子,бэй1дзы5,беи1зи3
北,бэ3й,беи3
京,дзи1нъ,
北京,бэ3йдзи1нъ,беи3йинг1
本,бэ3н,бен3
不,бу4,бу4
客,кхэ3,
气,тьси4,чи4
不客气,бу4кхэ3тьси5,
菜,цха4й,цаи4
茶,чха2,ча2
吃,чши1,чи1
出,чху1,чу1
租,дзу1,цу1
车,чхэ1,че1
出租车,чху1дзу1чхэ1,чу1цу1че1
打,да3,
电,дъе4н,диан4
话,хуа4,хуа4
打电话,да3дъе4нхуа4,да3диан4хуа4
大,да4,да4
的,дэ5,деe
点,дъе3н,диан3
脑,на3о,
电脑,дъе4нна3о,диан4нао3
视,ши4,
电视,дъе4нши4,диан4ши4
影,йи3нъ,
电影,дъе4нйи3нъ,диан4ыинг3
东,ду1нъ,донг1
西,си1,xи1
东西,ду1нъси,
都,до1у,ду1
读,ду2,ду2
对,ду4й,дуи4
起,тьси3,чи3
对不起,ду4йбутьси3,дуи4бу4чи3
多,дуо1,ду1
少,ша3о,шао3
多少,дуо1шао5,
儿,эр2,
儿子,эр2дзы5,ер2зи3
二,э4р,ер4
饭,фа4н,фан4
馆,гуа3н,
饭馆,фа4нгуа3н,фан4гуан3
飞,фэ1й,феи1
机,дзи1,
飞机,фэ1йдзи1,феи1йи1
分,фэ1н,фен1
钟,джу1нъ,чонг1
分钟,фэ1нджу1нъ,фен1чонг1
高,га1о,гао1
兴,си1нъ,
高兴,га1оси4нъ,гао1xинг4
个,гэ4,ге4
工,гу1нъ,
作,дзуо4,цзо4
工作,гу1нъдзуо1,гонг1цзо4
狗,го3у,гоу3
汉,ха4н,
语,йу3,
汉语,ха4нйу3,хан4ыу3
好,ха3о,хао3
喝,хэ1,хе1
和,хэ2,хе2
很,хэ3н,хен3
后,хо4у,хоу4
面,мье4н,
后面,хо4умье4н,
回,хуэй4,хуи2
会,хуэй2,хуи4
火,хуо3,хуо3
车,чхэ1,че1
站,джа4н,чан4
火车站,хуо3чхэ1джа4н,
几,дзи3,йи3
家,дзя1,йиа1
叫,дзя4о,йиао4
今,дзи1н ,
天,тъе1н,тиан1
今天,дзи1нтъе1н,йин1тиан1
九,дзи3ао,йиу3
开,кха1й,каи1
看,кха4н,кан4
见,дзъе4н,йиан4
看见,кха4ндзъе4н,кан4йиан4
块,кхуа4й,куаи4
来,ла2й,лаи2
老,ла3о,лао3
师,ши1,
老师,ла3оши1,лао3ши1
了,лэ5,леe
冷,лэ3нъ,ленг3
里,ли3,ли3
零,ли4нъ,линг2
六,лиу4,лиу4
妈,ма1,ма1
妈妈,ма1ма1,ма1ма1
吗,ма5,
买,ма3й,маи3
猫,ма1о,мао1
没,мэ2й,меи2
关,гуа1н,гуан1
系,си4,xи4
没关系,мэ2йгуа1нси5,меи2гуан1xи4
米,ми3,ми3
饭,фа4н,фан4
米饭,ми3фа4н,ми3фан4
明,ми2нъ,
天,тъе1н,тиан1
明天,ми2нътъе1н,минг2тиан1
名,ми2нъ,минг2
字,дзы4,тзы4
名字,ми2нъдзы5,минг2зи4
哪,на3,на3
那,на4,
呢,нэ5,ниe
能,нэ2нъ,ненг2
你,ни3,ни3
年,ние2н,ниан2
女,нйю3,
女儿,нйю3р,
朋,пхэ2нъ,
友,йо3у,
朋友,пхэ2нъйо3у,пенг2ыо3
漂,пхья1о,
亮,лья4нъ,лиан4
漂亮,пхья1ольянъ5,пиао4лиан4
苹,пхи2нъ,
果,гуо3,
苹果,пхи2нъгуо3,пинг2гуо3
七,тьси1,чи1
钱,тьсие2н,чиан2
前,тьсие2н,чиан2
面,мье4н,
前面,тьсие2нмье4н,чиан2миан4
请,тьси3нъ,чинг3
去,тьсю4,чу4
热,жэ4,ре4
人,жэ2н,рен2
认,жэ4н,рен4
识,ши2,ши2
认识,жэ4нши5,рен4ши2
日,жи4,ри4
三,са1н,сан1
商,ша1нъ,
店,дье4н,диан4
商店,ша1нъдье4нъ,шанг1диан4
上,ша4нъ,шанг4
上午,ша4нъву3,шанг4уоу3
谁,шэ2й,шуи2
什么,шэ2нмэ5,ши2меe
十,ши2,ши2
时,ши2,ши2
候,хоу2,
时候,ши2 хоу5,ши2хоу4
是,ши4,ши4
书,шу1 ,шу1
水,шуэй3,шуи3
水果,шуэй3 гуо3,шуи3гуо3
睡,шуэй4,шуи4
觉,дзиао4,юиа2
睡觉,шуэй4 дзиао4,шуи4юиа4
说,шуо1,
话,хуа4,хуа4
说话,шуо1хуа4,шуо1хуа4
四,сы4,сы4
岁,суэй4,суи4
他,тха1,та1
她,тха1,та1
太,тхаи4,таи4
天气,тьен1тьси4,тиан1чи4
听,тхинъ1,тинг1
同,тунъ2 сюэ3,тонг2
学,сюэ2,xуу2
同学,тунъ2 сюэ2,тонг2xуу2
喂,вэй4,уоеи4
我,во3,уоо3
我们,во3мэн5,уоо3менn
五,ву3,уоу3
喜,си3,
欢,хуан1,
喜欢,си3 хуан,xи3хуан1
下,сья4 ,xиа4
下午,сья4 ву3,xиа4уоу3
下雨,сья4 йю3,xиа4ыу3
先,сьенъ1,xиан1
生,шэнъ1,шенг1
先生,сьен1 шэнъ,xиан1шенг1
现,сьен4,
在,дзай4,цаи4
现在,сьен4дзай4,xиан4цаи4
想,сьянъ3,xианг3
小,сьяо3,xиао3
小姐,сьяо3 дзье5,
些,сье1,xие1
写,сье3,xие3
谢谢,сье4сье4,xие4xие4
星,синъ1,
期,тьси1,чи1
星期,синъ1 тьси1,xинг1чи1
学生,сюэ2 шэнъ5,xуу2шенг1
学习,сюэ2 си2,xуу2xи2
学校,сюэ2 сьяо4,xуу2xиао4
一,йи1,и1
依,йи1,
服,фу2,фу2
衣服,йи1 фу5,и1фу2
医,йи1,
医生,йи1 шэнъ,и1шенг1
医院,йи1 юэн4,и1ыуан4
院,юан3,ыуан4
椅,йи3,
椅子,йи3 дзы5,ыи3зи3
有,йоу3,ыо3
月,юэ4,ыуе4
再见,дзай4 дзъен,цаи4йиан4
怎么,дзэн3 мэ5,цен3меe
怎么样,дзэн3 ме5 янъ4,цен3меeыанг4
样,янъ4,ыанг4
这,дже4,че4
中,джунъ1,чонг1
国,гуо2,гуо2
中国,джунъ1 гуо2,чонг1гуо2
中午,джунъ1 ву3,чонг1уоу3
住,джу4,чу4
桌,джуо1,
桌子,джуо1 дзы5,чо1зи3
字,дзы4,тзы4
昨天,дзуо2 тъен1,цзо2тиан1
坐,дзуо4,цзо4
做,дзуо4,
