Слова HSK1,Иероглиф,Цифровое обозначение тонов,Перевод,,,,,,
1,爱,ай4,любить,любовь,любимый,,,,
2,八,ба1,восемь,восьмой,,,,,
,爸,ба4,отец,,,,,,
3,爸爸,ба4ба5,папа,,,,,,
,杯,бэй1,чашка,счетное слово,стакан,,,,
,子,дзы3,суффикс существительных и счетных слов,,,,,,
4,杯子,бэй1дзы5,стакан,кружка,бокал,рюмка,,,
,北,бэ3й,север,,,,,,
,京,дзи1нъ,столица,столичный,,,,,
5,北京,бэ3йдзи1нъ,Пекин,,,,,,
6,本,бэ3н,"сч. слово для растений, цветов",,,,,,
8,不,бу4,не,,,,,,
,客,кхэ3,гость,посетитель,,,,,
,气,тьси4,воздух,злиться,,,,,
7,不客气,бу4кхэ3тьси5,не стесняйтесь,не церемоньтесь,,,,,
9,菜,цха4й,овощи,блюдо,пища,стол,,,
10,茶,чха2,чай,,,,,,
11,吃,чши1,кушать,есть,,,,,
12,出,чху1,выходить из ,,,,,,
,租,дзу1,налог,арендная плата,арендовать,снимать,сдавать в аренду,,
,车,чхэ1,машина,счетное слово,,,,,
,出租车,чху1дзу1чхэ1,такси,,,,,,
13,打,да3,бить,делать,извлекать,вести,поднимать,,
,电,дъе4н,электричество,,,,,,
,话,хуа4,слова,речь,разговор,,,,
,打电话,да3дъе4нхуа4,звонить по телефону,,,,,,
14,大,да4,большой,крупный,великий,,,,
15,的,дэ5,суффикс прилагательного,суффикс притяжательности,,,,,
16,点,дъе3н,немножко,капля,чуточку,,,,
,脑,на3о,мозг,череп,рассудок,ум,,,
,电脑,дъе4нна3о,компьютер,,,,,,
18,视,ши4,рассматривать,относиться как,,,,,
,电视,дъе4нши4,телевидение,телевизионный,,,,,
19,影,йи3нъ,тень,отражение,изображение,кино(сокр),,,
,电影,дъе4нйи3нъ,кино,,,,,,
20,东,ду1нъ,восток,,,,,,
,西,си1,запад,,,,,,
,东西,ду1нъси,вещь,предмет,,,,,
21,都,до1у,все,всё,,,,,
22,读,ду2,читать,зачитывать,,,,,
23,对,ду4й,дУуэй,,,,,,
,起,тьси3,подниматься,вставать на ноги,,,,,
,对不起,ду4йбутьси3,извините,простите,виноват,,,,
24,多,дуо1,много,многочисленный,,,,,
,少,ша3о,мало,,,,,,
25,多少,дуо1шао5,сколько?,,,,,,
,儿,эр2,,,,,,,
26,儿子,эр2дзы5,сын,,,,,,
27,二,э4р,два,,,,,,
,饭,фа4н,еда,пища,кушанье,стол,,,
,馆,гуа3н,заведение,учреждение,,,,,
28,饭馆,фа4нгуа3н,ресторан,столовая,,,,,
,飞,фэ1й,летать,парить(в воздухе),летящий,,,,
,机,дзи1,пусковой механизм,аппарат,машина,,,,
29,飞机,фэ1йдзи1,самолет,,,,,,
,分,фэ1н,делить,разрезать,отделять,часть(целого),доля,подразделение,разница
,钟,джу1нъ,колокол,часы,,,,,
30,分钟,фэ1нджу1нъ,минута,,,,,,
,高,га1о,высокий,большой,особенный,,,,
,兴,си1нъ,подъем,расцвет,быть популярным,интерес,радоваться,,
31,高兴,га1оси4нъ,радоваться,радостный,,,,,
32,个,гэ4,уничерсальное счетное слово,отдельный,индивидуальный,,,,
,工,гу1нъ,работа,труд,ремесло,,,,
,作,дзуо4,делать,заниматься,изготавливать,писать,,,
33,工作,гу1нъдзуо1,работать,работа,,,,,
34,狗,го3у,собака,собачий,,,,,
,汉,ха4н,Хань,Ханьская династия,,,,,
,语,йу3,слова,речи,язык,условный язык,код,синтагма,
35,汉语,ха4нйу3,китайский язык,,,,,,
36,好,ха3о,хороший,хорошо ,приятный,удобный,,,
37,喝,хэ1,пить,,,,,,
