Pinyin,Wade-Giles,Romatzyh
аи,аи,аы
аихао,аихао,аыхауо
ба,па,ба
баба,паба,бахба
ба,па,бах
баи,паи,баир
баитиан,паитиен,баиртиан
баи,паи,бае
бан,пан,бан
бан,пан,банн
банниан,панниен,баннниан
бантиан,пантиен,баннтиан
банг,панг,банг
бангманг,пангманг,бангманг
бао,пао,бау
баози,паози,баузи
беи,пеи,беи
беизи,пеизи,беизи
беи,пеи,бееи
беибиан,пеипиен,бееибиан
беийинг,пеичинг,бееийинг
бен,пен,беен
бензи,пензи,беензи
би,пи,бии
бие,пиех,бые
биеде,пиехде,быеде
бинг,пинг,бинк
бингрен,пингйен,бинкрен
бу,пу,бух
цаи,цаи,цаы
ча,ча,чар
ча,ча,чах
чанг,чанг,чарнг
чангчанг,чангчанг,чарнгчарнг
чанг,чанг,чанк
чангге,чангко,чанкге
че,че,че
чепиао,чепиао,чепиауо
чешанг,чешанг,чешанк
чежан,чечан,чеянн
чи,чих,чы
чифан,чихфан,чыфанн
чу,чу,чу
чулаи,чулаи,чулаи
чуку,чучу,чучиух
чуан,чуан,чуан
чуанг,чуанг,чуоанг
ци,тзу,цых
цонг,цунг,цорнг
цуо,цо,цуох
даче,таче,дааче
дадианхуа,татиенхуа,даадианнхуах
дакаи,такаи,даакаи
дакиу,тачиу,даачыоу
да,та,дах
даxуе,тахсуех,дахшыуе
даxуешенг,тахсуехшенг,дахшыуешенг
дао,тао,дауо
дедао,тетао,дердауо
де,де,де
де,де,де
денг,тенг,деенг
ди,ти,дих
дидиан,титиен,дихдеан
диту,титу,дихтуоу
диди,тиди,дихди
ди,ти,дих
ди,ти,дих
диан,тиен,деан
диан,тиен,дианн
дианхуа,тиенхуа,дианнхуах
дианнао,тиеннао,дианннао
дианши,тиенших,дианншых
дианшийи,тиеншихчи,дианншыхйи
дианыинг,тиеныинг,дианныиинг
дианыингыуан,тиеныингыуан,дианныиингыуанн
донг,тунг,донг
донг,тунг,донк
донгзуо,тунгцо,донктзуох
доу,тоу,доу
ду,ту,дуоу
душу,тушу,дуоушу
дуи,туи,дуеы
дуибуки,туибучи,дуеыбучии
дуо,то,дуо
е,е,ех
ерзи,ерхзи,ерлзи
ер,ерх,елл
фан,фан,фанн
фандиан,фантиен,фанндианн
фангйиан,фангчиен,фарнгйиан
фангзи,фангзи,фарнгзи
фанг,фанг,фанк
фангйиа,фангчиа,фанкйиах
фангxуе,фангхсуех,фанкшыуе
феи,феи,феи
феийи,феичи,феийи
феичанг,феичанг,феичарнг
фен,фен,фен
фенг,фенг,фенг
ган,кан,ган
ганйинг,канчинг,ганйинк
ганшенме,каншенме,ганншернме
гао,као,гау
гаоxинг,каохсинг,гаушинк
геге,коге,геге
ге,ко,ге
ге,ко,ге
ге,ко,гех
геи,кеи,гееи
ген,кен,ген
гонгрен,кунгйен,гонгрен
гонгзуо,кунгцо,гонгтзуох
гуан,куан,гуан
гуаншанг,куаншанг,гуаншанк
гуи,куеи,гуеы
гуо,куо,гуоо
гуойиа,куочиа,гуоойиа
гуоуоаи,куоуоаи,гуооуоаы
хаиши,хаиши,хаирши
хаиыоу,хаиыу,хаирыеоу
хаизи,хаизи,хаирзи
ханыу,ханыу,ханныеу
ханзи,хантзу,ханнтзых
хао,хао,хао
хаочи,хаочих,хаочы
хаокан,хаокан,хаоканн
хаотинг,хаотинг,хаотинг
хаоуоанр,хаоуоанр,хаоуоанр
хао,хао,хауо
хе,хо,хе
хе,хо,хер
хен,хен,хеен
хоу,хоу,хоуо
хоутиан,хоутиен,хоуотиан
хуа,хуа,хуа
хуа,хуа,хуах
хуаи,хуаи,хуаы
хуан,хуан,хуоан
хуи,хуи,хуоеи
хуида,хуита,хуоеидар
хуидао,хуитао,хуоеидауо
хуийиа,хуичиа,хуоеийиа
хуи,хуи,хуеы
хуоче,хуоче,хуооче
йичанг,чичанг,йичаанг
йипиао,чипиао,йипиауо
йидан,читан,йиданн
йи,чи,йии
йи,чи,йих
йиа,чиа,йиа
йиали,чиали,йиалии
йиарен,чиайен,йиарен
йиан,чиен,йиан
йиан,чиен,йианн
йианмиан,чиенмиен,йианнмианн
йиао,чиао,йиау
йиао,чиао,йиауо
йиаоxуелоу,чиаохсуехлоу,йиауошыуелоу
йиейие,чиехйие,йиеейие
йиешао,чиехшао,йиехшауо
йинниан,чинниен,йинниан
йинтиан,чинтиен,йинтиан
йин,чин,йинн
йинлаи,чинлаи,йиннлаи
йинку,чинчу,йиннчиух
йиу,чиу,йеоу
йиу,чиу,йиоуо
юеде,чуехде,йыуеде
каи,каи,каи
каиче,каиче,каиче
каихуи,каихуи,каихуеы
каиуоанxиао,каиуоанхсиао,каиуоаншиауо
канбинг,канпинг,каннбинк
кандао,кантао,канндауо
канйиан,канчиен,каннйианн
као,као,као
каоши,каоших,каошых
ке,ко,кее
ке,ко,кех
кебен,копен,кехбеен
кеуоен,коуоен,кехуоен
коу,коу,кооу
куаи,куаи,куаы
куаи,куаи,куаы
лаи,лаи,лаи
лаидао,лаитао,лаидауо
лао,лао,лао
лаорен,лаойен,лаорен
лаоши,лаоших,лаошы
ле,ле,ле
леи,леи,леы
ленг,ленг,леенг
ли,ли,лии
лианг,лианг,леанг
линг,линг,линг
линг,линг,линг
лиу,лиу,лиоуо
лоу,лоу,лоу
лоушанг,лоушанг,лоушанк
лоуxиа,лоухсиа,лоушиах
лу,лу,лух
лукоу,лукоу,лухкооу
мама,мама,мхама
ма,ма,мха
малу,малу,маалух
машанг,машанг,маашанк
маи,маи,мае
ман,ман,манн
манг,манг,манг
мао,мао,мау
меи,меи,меи
меигуанxи,меикуанxи,меигуанxи
меишенме,меишенме,меишернме
меишир,меишихр,меишыхр
меиыоу,меиыу,меиыеоу
меимеи,меимеи,меымеи
меи,меи,меы
мен,мен,мен
менкоу,менкоу,менкооу
менпиао,менпиао,менпиауо
мифан,мифан,миифанн
мианбао,миенпао,мианнбау
миантиаор,миентиаор,мианнтыаур
мингзи,мингзи,мингзи
мингбаи,мингбаи,мингбаи
мингниан,мингниен,мингниан
мингтиан,мингтиен,мингтиан
на,на,на
на,на,наа
нали,нали,наалии
нар,нар,наар
наxие,нахсиех,наашие
нар,нар,нахр
наxие,нахсиех,нахшие
наи,наи,нае
наинаи,наинаи,наенаи
нанхаир,нанхаир,нанхаирр
наншенг,наншенг,наншенг
не,не,не
ненг,ненг,ненг
ни,ни,нии
нимен,нимен,ниимен
ниан,ниен,ниан
нин,нин,нин
ниунаи,ниунаи,ниоунае
пангбиан,пангпиен,парнгбиан
пенгыоу,пенгыоу,пернгыоу
пиао,пиао,пиауо
ки,чи,чи
ки,чи,чии
кичуанг,чичуанг,чиичуоанг
киче,чиче,чихче
киан,чиен,чыан
киантиан,чиентиен,чыантиан
киан,чиен,чыан
кианбао,чиенпао,чыанбау
кинг,чинг,чиинг
кингйиа,чингчиа,чиингйиах
кингйин,чингчин,чиингйинн
кингуоен,чингуоен,чиингуоенн
кингзуо,чингцо,чиингтзуох
киу,чиу,чыоу
ку,чу,чиух
куниан,чуниен,чиухниан
ре,йе,рех
рен,йен,рен
ренши,йенши,реннши
ренжен,йенчен,реннйен
ри,йих,рых
рики,йихчи,рыхчи
роу,йоу,роуо
сан,сан,сан
шан,шан,шан
шангчанг,шангчанг,шангчаанг
шангдиан,шангтиен,шангдианн
шанг,шанг,шанк
шангбан,шангпан,шанкбан
шангче,шангче,шанкче
шангци,шангтзу,шанкцых
шангке,шангко,шанккех
шангуоанг,шангуоанг,шанкуооанг
шангуоу,шангуоу,шанкуоуу
шангxуе,шангхсуех,шанкшыуе
шао,шао,шао
шеи,шеи,шеир
шенти,шенти,шентии
шенме,шенме,шернме
шенгбинг,шенгпинг,шенгбинк
шенгки,шенгчи,шенгчих
шенгри,шенгйих,шенгрых
ши,ших,шыр
шихоу,шиххоу,шырхоу
шийиан,шихчиен,шырйиан
ши,ших,шых
ши,ших,шых
ши,ших,шых
шоу,шоу,шооу
шоуйи,шоучи,шооуйи
шу,шу,шу
шубао,шупао,шубау
шудиан,шутиен,шудианн
шу,шу,шух
шуи,шуи,шоеи
шуигуо,шуикуо,шоеигуоо
шуи,шуи,шуеы
шуийиао,шуичиао,шуеыйиауо
шуохуа,шуохуа,шуохуах
си,ссу,сых
сонг,сунг,сонк
суи,суи,суеы
та,та,та
тамен,тамен,тамен
та,та,та
тамен,тамен,тамен
таи,таи,таы
тиан,тиен,тиан
тианки,тиенчи,тианчих
тинг,тинг,тинг
тингдао,тингтао,тингдауо
тингйиан,тингчиен,тингйианн
тингxие,тингхсиех,тингшиее
тонгxуе,тунгхсуех,торнгшыуе
тушугуан,тушукуан,туоушугоан
уоаи,уоаи,уоаы
уоаигуо,уоаикуо,уоаыгуоо
уоаиыу,уоаиыу,уоаыыеу
уоанр,уоанр,уоанр
уоан,уоан,уооан
уоанфан,уоанфан,уооанфанн
уоаншанг,уоаншанг,уооаншанг
уоангшанг,уоангшанг,уооангшанк
уоангыоу,уоангыу,уооангыеоу
уоанг,уоанг,уоанк
уоангйи,уоангчи,уоанкйих
уоен,уоен,уоенн
уоо,уоо,уооо
уоомен,уоомен,уооомен
уоу,уоу,уоуу
уоуфан,уоуфан,уоууфанн
xи,хси,ши
xибиан,хсипиен,шибиан
xи,хси,шии
xишоуйиан,хсишоучиен,шиишооуйиан
xихуан,хсихуан,шиихуан
xиа,хсиа,шиах
xиабан,хсиапан,шиахбан
xиаче,хсиаче,шиахче
xиаци,хсиатзу,шиахцых
xиаке,хсиако,шиахкех
xиауоу,хсиауоу,шиахуоуу
xиаыу,хсиаыу,шиахыеу
xиан,хсиен,шиан
